lastUpdate,exSymbol,qtyMultiplier,previousClose,stream,exchange,exSeries,optType,mtf_margin,is_mtf_tradable,exSymName,symTicker,exInstType,fyToken,upperPrice,lowerPrice,segment,symbolDesc,symDetails,exToken,strikePrice,minLotSize,underFyTok,currencyCode,underSym,expiryDate,tradingSession,asmGsmVal,faceValue,tickSize,exchangeName,originalExpDate,isin,tradeStatus,qtyFreeze,previousOi,cautionary_msg,
2024-11-22,MANAV,1.0,21.0,,10,SM,XX,0.0,0,MANAV INFRA PROJECTS LTD,NSE:MANAV-SM,0,101000000021697,22.05,19.95,10,MANAV INFRA PROJECTS LTD,MANAV INFRA PROJECTS LTD,21697,-1.0,4000,101000000021697,INR,MANAV,,0915-1530|1815-1915:,,10.0,0.05,NSE,,INE104Y01012,1,223537,0.0,,
2024-11-22,699PY29,1.0,90.25,,10,SG,XX,0.0,0,SDL PY 6.99% 2029,NSE:699PY29-SG,5,10100000008284,94.76,85.73,10,SDL PY 6.99% 2029,SDL PY 6.99% 2029,8284,-1.0,100,10100000008284,INR,699PY29,,0915-1530|1815-1915:,,100.0,0.01,NSE,,IN3820210083,1,604949,0.0,,
2024-11-22,EMMBI,1.0,144.17,,10,EQ,XX,0.0,0,EMMBI INDUSTRIES LIMITED,NSE:EMMBI-EQ,0,101000000018142,173.0,115.33,10,EMMBI INDUSTRIES LIMITED,EMMBI INDUSTRIES LIMITED,18142,-1.0,1,101000000018142,INR,EMMBI,,0915-1530|1815-1915:,,10.0,0.01,NSE,,INE753K01015,1,578471,0.0,,
2024-11-22,762BR32,1.0,0.0,,10,SG,XX,0.0,0,SDL BR 7.62% 2032,NSE:762BR32-SG,5,101000000010854,105.0,95.0,10,SDL BR 7.62% 2032,SDL BR 7.62% 2032,10854,-1.0,100,101000000010854,INR,762BR32,,0915-1530|1815-1915:,,100.0,0.01,NSE,,IN1320220032,1,999999,0.0,,
2024-11-22,LOYALTEX,1.0,306.6,,10,BE,XX,0.0,0,LOYAL TEXTILE MILLS LTD,NSE:LOYALTEX-BE,0,101000000010605,321.9,291.3,10,LOYAL TEXTILE MILLS LTD,LOYAL TEXTILE MILLS LTD,10605,-1.0,1,101000000010605,INR,LOYALTEX,,0915-1530|1815-1915:,ESM - I,10.0,0.05,NSE,,INE970D01010,1,157497,0.0,Gross settlement (Trade for Trade),
2024-11-22,743MH35,1.0,0.0,,10,SG,XX,0.0,0,SDL MH 7.43% 2035,NSE:743MH35-SG,5,101000000022877,105.0,95.0,10,SDL MH 7.43% 2035,SDL MH 7.43% 2035,22877,-1.0,100,101000000022877,INR,743MH35,,0915-1530|1815-1915:,,100.0,0.01,NSE,,IN2220230253,1,999899,0.0,,
2024-11-22,119VCCL26,1.0,0.0,,10,N0,XX,0.0,0,VEDIKA CREDIT 11.9% 2026,NSE:119VCCL26-N0,2,101000000024828,120000.0,80000.0,10,VEDIKA CREDIT 11.9% 2026,VEDIKA CREDIT 11.9% 2026,24828,-1.0,1,101000000024828,INR,119VCCL26,,0915-1530|1815-1915:,,100000.0,0.01,NSE,,INE04HY07146,1,98,0.0,,
2024-11-22,736AP45,1.0,0.0,,10,SG,XX,0.0,0,SDL AP 7.36% 2045,NSE:736AP45-SG,5,101000000024340,105.0,95.0,10,SDL AP 7.36% 2045,SDL AP 7.36% 2045,24340,-1.0,100,101000000024340,INR,736AP45,,0915-1530|1815-1915:,,100.0,0.01,NSE,,IN1020240389,1,999999,0.0,,
2024-11-22,772MH35,1.0,0.0,,10,SG,XX,0.0,0,SDL MH 7.72% 2035,NSE:772MH35-SG,5,101000000021271,105.0,95.0,10,SDL MH 7.72% 2035,SDL MH 7.72% 2035,21271,-1.0,100,101000000021271,INR,772MH35,,0915-1530|1815-1915:,,100.0,0.01,NSE,,IN2220230170,1,999999,0.0,,
2024-11-22,768CG32,1.0,101.0,,10,SG,XX,0.0,0,SDL CG 7.68% 2032,NSE:768CG32-SG,5,101000000021499,106.05,95.95,10,SDL CG 7.68% 2032,SDL CG 7.68% 2032,21499,-1.0,100,101000000021499,INR,768CG32,,0915-1530|1815-1915:,,100.0,0.01,NSE,,IN3520230092,1,989999,0.0,,
2024-11-22,813PNBH33,1.0,0.0,,10,N0,XX,0.0,0,PHFL 8.13% 2033,NSE:813PNBH33-N0,2,101000000020903,120000.0,80000.0,10,PHFL 8.13% 2033,PHFL 8.13% 2033,20903,-1.0,1,101000000020903,INR,813PNBH33,,0915-1530|1815-1915:,,100000.0,0.01,NSE,,INE572E07142,1,94,0.0,,
2024-11-22,786MH30,1.0,0.0,,10,SG,XX,0.0,0,SDL MH 7.86% 2030,NSE:786MH30-SG,5,10100000009821,105.0,95.0,10,SDL MH 7.86% 2030,SDL MH 7.86% 2030,9821,-1.0,100,10100000009821,INR,786MH30,,0915-1530|1815-1915:,,100.0,0.01,NSE,,IN2220220080,1,999999,0.0,,
2024-11-22,718UP30,1.0,0.0,,10,SG,XX,0.0,0,SDL UP 7.18% 2030,NSE:718UP30-SG,5,101000000022213,110.83,100.28,10,SDL UP 7.18% 2030,SDL UP 7.18% 2030,22213,-1.0,100,101000000022213,INR,718UP30,,0915-1530|1815-1915:,,100.0,0.01,NSE,,IN3320190173,1,947099,0.0,,
2024-11-22,711MP30,1.0,0.0,,10,SG,XX,0.0,0,SDL MP 7.11% 2030,NSE:711MP30-SG,5,101000000021963,110.33,99.82,10,SDL MP 7.11% 2030,SDL MP 7.11% 2030,21963,-1.0,100,101000000021963,INR,711MP30,,0915-1530|1815-1915:,,100.0,0.01,NSE,,IN2120190185,1,951649,0.0,,
